"Town Name, State",Town Name,State,Longitude,Latitude,Coastal,Inland,Urban,Remote,Year Settled,Year Settled,Year Abandoned,Duration (years),Commodities,Mine Size,Mine Type,Mineral Distribution,Town Area (acres),Peak Population
"You Bet, California",You Bet,California,-120.976830,39.190029,,,,,,,,0,,,,,,
"Zurich, California",Zurich,California,-118.261398,37.18158,,,,,,,,0,,,,,,
"Alta, Colorado",Alta,Colorado,-107.854159,37.885647,,,,,1877,1877,1948,71,,71,,,,
"Animas Forks, Colorado",Animas Forks,Colorado,-107.567500,37.930833,,,,,1878,1878,1904,26,Gold,26,Underground - Shaft,,,450
"Arapahoe, Colorado",Arapahoe,Colorado,-102.174819,38.849635,,,,,,,,0,,,,,,
"Ashcroft, Colorado",Ashcroft,Colorado,-106.799591,39.054211,,,,,,,,0,,,,,,
"Bakerville, Colorado",Bakerville,Colorado,-105.805138,39.691879,,,,,,,,0,,,,,,
"Bonanza, Colorado",Bonanza,Colorado,-106.140609,38.29135,,,,,,,,0,,,,,,
"Buckskin Joe, Colorado",Buckskin Joe,Colorado,-106.088056,39.293056,,,,,1859,1859,1866,7,,7,,,,
"Calumet, Colorado",Calumet,Colorado,-104.853378,37.687908,,,,,,,,0,,,,,,
"Caribou, Colorado",Caribou,Colorado,-105.576889,39.979259,,,,,,,,0,,,,,,
"Carrizo Springs, Colorado",Carrizo Springs,Colorado,-103.031822,37.16346,,,,,,,,0,,,,,,
"Carson Ghost Town, Colorado",Carson Ghost Town,Colorado,-107.361667,37.871667,,,,,,,,0,,,,,,
"Chihuahua, Colorado",Chihuahua,Colorado,-106.383301,28.133301,,,,,,,,0,,,,,,
"Chivington, Colorado",Chivington,Colorado,-102.540993,38.436562,,,,,,,,0,,,,,,
"Climax, Colorado",Climax,Colorado,-106.188080,39.367979,,,,,,,,0,,,,,,
"Como, Colorado",Como,Colorado,-105.892827,39.3166281,,,,,,,,0,,,,,,
"Crystal, Colorado",Crystal,Colorado,-107.188110,39.071419,,,,,,,,0,,,,,,
"Dallas, Colorado",Dallas,Colorado,-107.742416,38.195591,,,,,,,,0,,,,,,
"Dearfield, Colorado",Dearfield,Colorado,-104.250450,40.291191,,,,,,,,0,,,,,,
"Decatur, Colorado",Decatur,Colorado,-88.952461,39.84584,,,,,,,,0,,,,,,
"Dyersville, Colorado",Dyersville,Colorado,-105.992722,39.435471,,,,,,,,0,,,,,,
"Eastonville, Colorado",Eastonville,Colorado,-104.550407,39.060719,,,,,,,,0,,,,,,
"Eureka, Colorado",Eureka,Colorado,-107.565308,37.879391,,,,,,,,0,,,,,,
"Fondis, Colorado",Fondis,Colorado,-104.179703,39.191551,,,,,,,,0,,,,,,
"Galena, Colorado",Galena,Colorado,-105.285393,38.259579,,,,,,,,0,,,,,,
"Geneva City, Colorado",Geneva City,Colorado,-88.486954,42.620522,,,,,,,,0,,,,,,
"Gilman, Colorado",Gilman,Colorado,-106.392647,39.53231,,,,,,,,0,,,,,,
"Gothic, Colorado",Gothic,Colorado,-106.990273,38.960018,,,,,,,,0,,,,,,
"Guston, Colorado",Guston,Colorado,-95.761693,29.812999,,,,,,,,0,,,,,,
"Hamilton, Colorado",Hamilton,Colorado,-107.613854,40.371447,,,,,,,,0,,,,,,
"Hancock, Colorado",Hancock,Colorado,-107.116715,38.9349915,,,,,,,,0,,,,,,
"Howardsville, Colorado",Howardsville,Colorado,-107.594227,37.8355524,,,,,,,,0,,,,,,
"Howardsville, Colorado",Howardsville,Colorado,-107.595268,37.835522,,,,,,,,0,,,,,,
"Independence, Colorado",Independence,Colorado,-106.605278,39.106389,,,,,1880,1880,1898,18,Gold,18,Underground - Shaft,Shallow,40,1500
"Ironton, Colorado",Ironton,Colorado,-107.680338,37.9327727,,,,,,,,0,,,,,,
"Keota, Colorado",Keota,Colorado,-104.071114,40.70414,,,,,,,,0,,,,,,
"Kokomo, Colorado",Kokomo,Colorado,-106.173721,39.414848,,,,,,,,0,,,,,,
"Liberty, Colorado",Liberty,Colorado,-105.702423,37.9897,,,,,,,,0,,,,,,
"Ludlow, Colorado",Ludlow,Colorado,-104.751862,37.317669,,,,,,,,0,,,,,,
"Manhattan, Colorado",Manhattan,Colorado,-105.582062,40.735222,,,,,,,,0,,,,,,
"Marble, Colorado",Marble,Colorado,-107.190264,39.0722275,,,,,,,,0,,,,,,
"Montezuma, Colorado",Montezuma,Colorado,-105.868319,39.58179,,,,,,,,0,,,,,,
"Nevadaville, Colorado",Nevadaville,Colorado,-105.540291,39.79195,,,,,,,,0,,,,,,
"Oro City, Colorado",Oro City,Colorado,-106.251762,39.234291,,,,,,,,0,,,,,,
"Ouray, Colorado",Ouray,Colorado,-107.671449,38.0227716,,,,,,,,0,,,,,,
"Querida or Rosita, Colorado",Querida or Rosita,Colorado,-105.340668,38.142559,,,,,,,,0,,,,,,
"Russell Gulch, Colorado",Russell Gulch,Colorado,-105.511772,39.80019,,,,,,,,0,,,,,,
"Saints John, Colorado",Saints John,Colorado,-105.881340,39.571011,,,,,,,,0,,,,,,
"Silverton, Colorado",Silverton,Colorado,-107.665650,37.8102955,,,,,,,,0,,,,,,
"South Park City, Colorado",South Park City,Colorado,-106.004656,39.22519835,,,,,,,,0,,,,,,
